EEID,Full Name,First Name,Last Name,Email,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,Access
E02285,Aria Xi,Aria ,Xi,AXi@scorpius.com,Director,Sales,Research & Development,Female,Asian,45,3/1/2002,165181,0.16,United States,Nashville,,Privileged
E01921,Sarah Daniels,Sarah ,Daniels,SDaniels@scorpius.com,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,1/9/2011,138521,0.1,United States,Nashville,,Standard
E00813,Autumn Joseph,Autumn ,Joseph,AJoseph@scorpius.com,Enterprise Architect,IT,Corporate,Female,Black,39,5/9/2018,73317,0,United States,Nashville,,Privileged
E00870,Evelyn Liang,Evelyn ,Liang,ELiang@scorpius.com,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,6/26/2013,69096,0,United States,Nashville,,Privileged
E00245,Benjamin Delgado,Benjamin ,Delgado,BDelgado@scorpius.com,Test Engineer,Engineering,Corporate,Male,Latino,64,9/28/1992,70778,0,United States,Nashville,,Standard
E00976,Zoe Rodriguez,Zoe ,Rodriguez,ZRodriguez@scorpius.com,Director,Human Resources,Speciality Products,Female,Latino,65,5/23/2004,153938,0.2,United States,Nashville,,Privileged
E01807,Cameron Evans,Cameron ,Evans,CEvans@scorpius.com,Test Engineer,Engineering,Corporate,Male,Caucasian,50,12/13/2018,63098,0,United States,Nashville,,Standard
E01412,Eva Jenkins,Eva ,Jenkins,EJenkins@scorpius.com,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,11/10/2004,142318,0.14,United States,Nashville,,Standard
E04386,Cameron Powell,Cameron ,Powell,CPowell@scorpius.com,Business Partner,Human Resources,Manufacturing,Male,Black,41,8/20/2004,49186,0,United States,Nashville,6/17/2008,Standard
E01232,Samantha Foster,Samantha ,Foster,SFoster@scorpius.com,Vice President,Human Resources,Research & Development,Female,Black,34,7/27/2019,220937,0.38,United States,Nashville,,Privileged
E04572,Jade Li,Jade ,Li,JLi@scorpius.com,Director,IT,Speciality Products,Female,Asian,47,10/26/2012,183156,0.3,United States,Nashville,,Privileged
E02747,Kinsley Acosta,Kinsley ,Acosta,KAcosta@scorpius.com,Vice President,IT,Speciality Products,Female,Latino,32,7/22/2020,192749,0.31,United States,Nashville,,Privileged
E01064,Clara Kang,Clara ,Kang,CKang@scorpius.com,Sr. Manger,IT,Manufacturing,Female,Asian,39,3/25/2017,135325,0.14,United States,Nashville,,Privileged
E00178,Harper Alexander,Harper ,Alexander,HAlexander@scorpius.com,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,10/14/2019,79356,0,United States,Nashville,,Standard
E01091,Carter Reed,Carter ,Reed,CReed@scorpius.com,Development Engineer,Engineering,Manufacturing,Male,Black,40,7/7/2005,74412,0,United States,Nashville,,Standard
E01309,Everleigh Jiang,Everleigh ,Jiang,EJiang@scorpius.com,Director,Accounting,Research & Development,Female,Asian,58,5/14/2003,173071,0.29,United States,Nashville,,Privileged
E02378,Audrey Smith,Audrey ,Smith,ASmith@scorpius.com,Field Engineer,Engineering,Research & Development,Female,Caucasian,58,10/27/1995,70189,0,United States,Nashville,,Standard
E04127,Emery Acosta,Emery ,Acosta,EAcosta@scorpius.com,Vice President,Sales,Research & Development,Female,Latino,42,9/11/2013,181452,0.3,United States,Nashville,,Privileged
E02072,Charles Robinson,Charles ,Robinson,CRobinson@scorpius.com,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,3/12/2021,70369,0,United States,Nashville,,Standard
E00187,Miles Mehta,Miles ,Mehta,MMehta@scorpius.com,Director,Finance,Research & Development,Male,Asian,64,5/2/1996,189933,0.23,United States,Nashville,,Privileged
E04332,Ezra Simmons,Ezra ,Simmons,ESimmons@scorpius.com,Automation Engineer,Engineering,Speciality Products,Male,Caucasian,38,7/1/2010,78237,0,United States,Nashville,,Standard
E00273,David Owens,David ,Owens,DOwens@scorpius.com,Sr. Analyst,Sales,Corporate,Male,Black,43,4/16/2004,94246,0,United States,Nashville,,Standard
E00691,Avery Yee,Avery ,Yee,AYee@scorpius.com,Systems Analyst,IT,Manufacturing,Female,Asian,34,5/22/2016,44614,0,United States,Nashville,,Privileged
E00825,Anna Molina,Anna ,Molina,AMolina@scorpius.com,Sr. Analyst,Accounting,Corporate,Female,Latino,41,6/12/2016,70165,0,United States,Nashville,,Standard
E04972,Logan Bryant,Logan ,Bryant,LBryant@scorpius.com,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,7/18/2020,148485,0.15,United States,Nashville,,Standard
E03941,Isla Han,Isla ,Han,IHan@scorpius.com,Technical Architect,IT,Manufacturing,Female,Asian,58,6/18/2005,86089,0,United States,Nashville,,Privileged
E02148,Christopher Vega,Christopher ,Vega,CVega@scorpius.com,Engineering Manager,Engineering,Research & Development,Male,Latino,54,10/27/2007,106313,0.15,United States,Nashville,,Standard
E04477,Connor Grant,Connor ,Grant,CGrant@scorpius.com,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,27,10/13/2021,74077,0,United States,Nashville,,Standard
E04348,Natalia Owens,Natalia ,Owens,NOwens@scorpius.com,Manager,Human Resources,Manufacturing,Female,Caucasian,31,1/18/2021,104162,0.07,United States,Nashville,,Privileged
E04222,Quinn Xiong,Quinn ,Xiong,QXiong@scorpius.com,Test Engineer,Engineering,Research & Development,Female,Asian,55,9/8/2013,73248,0,United States,Nashville,,Standard
E04126,Dominic Baker,Dominic ,Baker,DBaker@scorpius.com,Sr. Analyst,Accounting,Manufacturing,Male,Black,51,10/9/2020,91853,0,United States,Nashville,,Standard
E01896,Adam Nelson,Adam ,Nelson,ANelson@scorpius.com,Director,Finance,Speciality Products,Male,Caucasian,25,1/14/2020,168014,0.27,United States,Nashville,7/27/2021,Privileged
E03018,Autumn Reed,Autumn ,Reed,AReed@scorpius.com,Development Engineer,Engineering,Corporate,Female,Caucasian,37,9/17/2017,70770,0,United States,Nashville,,Standard
E03325,Robert Edwards,Robert ,Edwards,REdwards@scorpius.com,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,10/11/2004,50825,0,United States,Nashville,,Standard
E01902,Eleanor Li,Eleanor ,Li,ELi@scorpius.com,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,12/7/2003,125807,0.15,United States,Nashville,,Standard
E01466,Connor Vang,Connor ,Vang,CVang@scorpius.com,Analyst,Sales,Speciality Products,Male,Asian,25,7/28/2021,46845,0,United States,Nashville,,Standard
E03474,Violet Hall,Violet ,Hall,VHall@scorpius.com,Solutions Architect,IT,Corporate,Female,Caucasian,40,12/10/2010,97807,0,United States,Nashville,,Privileged
E02744,Dylan Padilla,Dylan ,Padilla,DPadilla@scorpius.com,HRIS Analyst,Human Resources,Manufacturing,Male,Latino,31,12/9/2015,73854,0,United States,Nashville,,Standard
E00702,Nathan Pham,Nathan ,Pham,NPham@scorpius.com,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,12/12/2006,149537,0.14,United States,Nashville,,Standard
E03081,Ayla Brown,Ayla ,Brown,ABrown@scorpius.com,Sr. Manger,Sales,Manufacturing,Female,Caucasian,49,4/15/2013,128303,0.15,United States,Nashville,,Standard
E01281,Isaac Mitchell,Isaac ,Mitchell,IMitchell@scorpius.com,Network Architect,IT,Speciality Products,Male,Black,46,6/10/2005,67374,0,United States,Nashville,,Privileged
E01753,Connor Fong,Connor ,Fong,CFong@scorpius.com,Manager,Accounting,Speciality Products,Male,Asian,40,2/16/2018,120905,0.05,United States,Nashville,,Privileged
E04072,Emery Mitchell,Emery ,Mitchell,EMitchell@scorpius.com,Vice President,Finance,Manufacturing,Female,Caucasian,48,6/2/2018,231567,0.36,United States,Nashville,,Privileged
E00672,Landon Luu,Landon ,Luu,LLuu@scorpius.com,Vice President,IT,Research & Development,Male,Asian,31,7/12/2015,215388,0.33,United States,Nashville,,Privileged
E04419,Sophia Ahmed,Sophia ,Ahmed,SAhmed@scorpius.com,Sr. Manger,Sales,Speciality Products,Female,Asian,30,6/13/2015,127972,0.11,United States,Nashville,,Standard
E00467,Sofia Dinh,Sofia ,Dinh,SDinh@scorpius.com,Operations Engineer,Engineering,Corporate,Female,Asian,55,8/4/1995,80701,0,United States,Nashville,4/14/2005,Standard
E00306,Piper Patterson,Piper ,Patterson,PPatterson@scorpius.com,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,6/19/2019,88045,0,United States,Nashville,,Standard
E03292,Cora Evans,Cora ,Evans,CEvans@scorpius.com,Computer Systems Manager,IT,Speciality Products,Female,Black,45,3/26/2018,86478,0.06,United States,Nashville,,Privileged
E04779,Cameron Young,Cameron ,Young,CYoung@scorpius.com,Vice President,Engineering,Manufacturing,Male,Caucasian,63,1/18/2016,180994,0.39,United States,Nashville,,Privileged
E00501,Melody Ho,Melody ,Ho,MHo@scorpius.com,Analyst II,Finance,Research & Development,Female,Asian,55,12/2/2007,64494,0,United States,Nashville,,Standard
E01132,Aiden Bryant,Aiden ,Bryant,ABryant@scorpius.com,Account Representative,Sales,Manufacturing,Male,Black,47,10/21/2002,70122,0,United States,Nashville,,Standard
E00556,Grayson Walker,Grayson ,Walker,GWalker@scorpius.com,Director,Accounting,Manufacturing,Male,Caucasian,29,2/19/2017,181854,0.29,United States,Nashville,4/24/2020,Privileged
E00311,Scarlett Figueroa,Scarlett ,Figueroa,SFigueroa@scorpius.com,Business Partner,Human Resources,Speciality Products,Female,Latino,34,10/21/2016,52811,0,United States,Nashville,,Standard
E04378,Ezra Simmons,Ezra ,Simmons,ESimmons@scorpius.com,Network Administrator,IT,Manufacturing,Male,Black,31,5/7/2016,71192,0,United States,Nashville,,Privileged
E03251,Ruby Medina,Ruby ,Medina,RMedina@scorpius.com,Director,Sales,Manufacturing,Female,Latino,50,12/18/2018,155351,0.2,United States,Nashville,,Privileged
E03908,Miles Evans,Miles ,Evans,MEvans@scorpius.com,Network Architect,IT,Manufacturing,Male,Caucasian,54,10/24/1994,87216,0,United States,Nashville,,Privileged
E01351,Leo Owens,Leo ,Owens,LOwens@scorpius.com,Systems Analyst,IT,Corporate,Male,Caucasian,47,4/23/2020,50069,0,United States,Nashville,,Privileged
E02681,Caroline Owens,Caroline ,Owens,COwens@scorpius.com,Director,IT,Speciality Products,Female,Caucasian,26,7/26/2021,151108,0.22,United States,Nashville,,Privileged
E03807,Kennedy Do,Kennedy ,Do,KDo@scorpius.com,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,10/15/2005,67398,0.07,United States,Nashville,,Privileged
E00422,Jade Acosta,Jade ,Acosta,JAcosta@scorpius.com,Development Engineer,Engineering,Research & Development,Female,Latino,47,8/29/2015,68488,0,United States,Nashville,,Standard
E00265,Mila Vasquez,Mila ,Vasquez,MVasquez@scorpius.com,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,7/16/1998,92932,0,United States,Nashville,,Standard
E04601,Allison Ayala,Allison ,Ayala,AAyala@scorpius.com,Analyst,Finance,Corporate,Female,Latino,36,6/30/2009,43363,0,United States,Nashville,,Standard
E02914,Maria Wilson,Maria ,Wilson,MWilson@scorpius.com,Vice President,Engineering,Research & Development,Female,Caucasian,51,6/14/1996,200246,0.34,United States,Nashville,,Privileged
E03268,Everly Coleman,Everly ,Coleman,EColeman@scorpius.com,Vice President,IT,Corporate,Female,Caucasian,48,2/18/2015,194871,0.35,United States,Nashville,,Privileged
E04290,Hannah Gomez,Hannah ,Gomez,HGomez@scorpius.com,Technical Architect,IT,Manufacturing,Female,Latino,25,5/11/2021,83934,0,United States,Nashville,,Privileged
E03630,Jacob Davis,Jacob ,Davis,JDavis@scorpius.com,Director,Accounting,Research & Development,Male,Caucasian,36,9/3/2016,150399,0.28,United States,Nashville,,Privileged
E03045,Andrew Huynh,Andrew ,Huynh,AHuynh@scorpius.com,Business Partner,Human Resources,Speciality Products,Male,Asian,57,4/28/1997,54051,0,United States,Nashville,10/11/1998,Standard
E04877,Samuel Vega,Samuel ,Vega,SVega@scorpius.com,Analyst II,Marketing,Speciality Products,Male,Latino,37,3/30/2013,69570,0,United States,Nashville,,Standard
E04590,Isaac Sanders,Isaac ,Sanders,ISanders@scorpius.com,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,3/29/2001,57606,0,United States,Nashville,,Standard
E01378,Genesis Xiong,Genesis ,Xiong,GXiong@scorpius.com,System Administrator ,IT,Research & Development,Female,Asian,51,2/25/2012,64170,0,United States,Nashville,,Privileged
E04224,Lucas Ramos,Lucas ,Ramos,LRamos@scorpius.com,Sr. Business Partner,Human Resources,Speciality Products,Male,Latino,56,1/21/1998,72303,0,United States,Nashville,,Standard
E03423,Santiago f Gonzalez,Santiago ,f Gonzalez,Sf Gonzalez@scorpius.com,Manager,Sales,Research & Development,Male,Latino,36,7/26/2012,105891,0.07,United States,Nashville,,Privileged
E01584,Henry Zhu,Henry ,Zhu,HZhu@scorpius.com,Vice President,Marketing,Speciality Products,Male,Asian,38,8/25/2021,255230,0.36,United States,Nashville,,Privileged
E00834,Vivian Guzman,Vivian ,Guzman,VGuzman@scorpius.com,Analyst II,Finance,Speciality Products,Female,Latino,53,2/9/2002,58605,0,United States,Nashville,,Standard
E04571,Hadley Contreras,Hadley ,Contreras,HContreras@scorpius.com,Director,Engineering,Corporate,Female,Latino,60,1/4/2017,178502,0.2,United States,Nashville,,Privileged
E00399,Connor Walker,Connor ,Walker,CWalker@scorpius.com,Analyst II,Finance,Manufacturing,Male,Caucasian,30,3/18/2019,54714,0,United States,Nashville,,Standard
E00836,Addison Roberts,Addison ,Roberts,ARoberts@scorpius.com,Network Architect,IT,Manufacturing,Female,Caucasian,65,5/14/2018,60985,0,United States,Nashville,,Privileged
E00360,Dylan Thao,Dylan ,Thao,DThao@scorpius.com,Director,Engineering,Manufacturing,Male,Asian,53,10/22/2012,168510,0.29,United States,Nashville,,Privileged
E02861,Daniel Perry,Daniel ,Perry,DPerry@scorpius.com,Enterprise Architect,IT,Research & Development,Male,Caucasian,62,4/15/2001,80921,0,United States,Nashville,,Privileged
E01357,Paisley Hunter,Paisley ,Hunter,PHunter@scorpius.com,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,1/15/2010,98110,0.13,United States,Nashville,,Standard
E04387,Everleigh White,Everleigh ,White,EWhite@scorpius.com,Network Architect,IT,Speciality Products,Female,Caucasian,59,10/20/2017,86831,0,United States,Nashville,,Privileged
E03591,Piper Sun,Piper ,Sun,PSun@scorpius.com,Director,Marketing,Manufacturing,Female,Asian,64,2/14/2011,171217,0.19,United States,Nashville,,Privileged
E03328,Lucy Johnson,Lucy ,Johnson,LJohnson@scorpius.com,Manager,IT,Research & Development,Female,Caucasian,57,4/27/2020,103058,0.07,United States,Nashville,,Privileged
E04937,Ian Ngo,Ian ,Ngo,INgo@scorpius.com,Manager,Sales,Speciality Products,Male,Asian,52,8/7/2014,117062,0.07,United States,Nashville,,Privileged
E00515,Joseph Vazquez,Joseph ,Vazquez,JVazquez@scorpius.com,Sr. Manger,Accounting,Speciality Products,Male,Latino,40,1/23/2019,159031,0.1,United States,Nashville,,Standard
E03255,Jose Brown,Jose ,Brown,JBrown@scorpius.com,System Administrator ,IT,Speciality Products,Male,Caucasian,43,4/7/2016,67976,0,United States,Nashville,,Privileged
E01711,Benjamin Ford,Benjamin ,Ford,BFord@scorpius.com,Analyst II,Finance,Speciality Products,Male,Caucasian,31,4/22/2021,74215,0,United States,Nashville,,Standard
E04972,Ivy Daniels,Ivy ,Daniels,IDaniels@scorpius.com,Sr. Manger,Human Resources,Speciality Products,Female,Caucasian,41,10/26/2008,131841,0.13,United States,Nashville,,Standard
E04749,Caroline Phan,Caroline ,Phan,CPhan@scorpius.com,Sr. Manger,Finance,Corporate,Female,Asian,41,3/14/2004,155004,0.12,United States,Nashville,,Standard
E02023,Maverick Mehta,Maverick ,Mehta,MMehta@scorpius.com,Systems Analyst,IT,Manufacturing,Male,Asian,40,7/30/2007,41859,0,United States,Nashville,,Privileged
E03166,Austin Edwards,Austin ,Edwards,AEdwards@scorpius.com,IT Coordinator,IT,Manufacturing,Male,Black,42,9/24/2006,52733,0,United States,Nashville,,Privileged
E02599,Daniel Huang,Daniel ,Huang,DHuang@scorpius.com,Vice President,Human Resources,Corporate,Male,Asian,31,9/3/2015,250953,0.34,United States,Nashville,,Privileged
E00085,Mason Watson,Mason ,Watson,MWatson@scorpius.com,Sr. Manger,IT,Corporate,Male,Caucasian,46,9/14/2004,130274,0.11,United States,Nashville,,Privileged
E02108,Madeline Coleman,Madeline ,Coleman,MColeman@scorpius.com,Sr. Manger,Finance,Research & Development,Female,Caucasian,51,4/28/2006,150758,0.13,United States,Nashville,8/16/2007,Standard
E03685,Silas Hunter,Silas ,Hunter,SHunter@scorpius.com,Solutions Architect,IT,Corporate,Male,Black,55,5/4/1998,62174,0,United States,Nashville,,Privileged
E01089,Nicholas Brooks,Nicholas ,Brooks,NBrooks@scorpius.com,Analyst II,Accounting,Manufacturing,Male,Caucasian,43,10/20/2017,56555,0,United States,Nashville,,Standard
E03988,Dominic Thomas,Dominic ,Thomas,DThomas@scorpius.com,Analyst II,Marketing,Manufacturing,Male,Caucasian,48,9/28/2005,74655,0,United States,Nashville,,Standard
E00401,Wesley Adams,Wesley ,Adams,WAdams@scorpius.com,System Administrator ,IT,Corporate,Male,Caucasian,48,8/11/2003,93017,0,United States,Nashville,,Privileged
E02417,Alice Young,Alice ,Young,AYoung@scorpius.com,Automation Engineer,Engineering,Research & Development,Female,Caucasian,46,1/24/2008,91621,0,United States,Nashville,,Standard
E00359,Logan Carrillo,Logan ,Carrillo,LCarrillo@scorpius.com,Sr. Analyst,Marketing,Research & Development,Male,Latino,33,11/30/2014,91280,0,United States,Nashville,,Standard
E02044,Caroline Alexander,Caroline ,Alexander,CAlexander@scorpius.com,Business Partner,Human Resources,Manufacturing,Female,Black,42,9/18/2020,47071,0,United States,Nashville,,Standard
E01479,Serenity Bailey,Serenity ,Bailey,SBailey@scorpius.com,IT Systems Architect,IT,Manufacturing,Female,Caucasian,55,11/21/2011,81218,0,United States,Nashville,,Privileged
E02769,Eliza Adams,Eliza ,Adams,EAdams@scorpius.com,Account Representative,Sales,Manufacturing,Female,Caucasian,26,11/21/2021,63137,0,United States,Nashville,,Standard
E00553,Isla Yoon,Isla ,Yoon,IYoon@scorpius.com,Quality Engineer,Engineering,Research & Development,Female,Asian,50,5/10/2013,79388,0,United States,Nashville,8/4/2019,Standard
E03540,Emma Perry,Emma ,Perry,EPerry@scorpius.com,Solutions Architect,IT,Manufacturing,Female,Caucasian,28,1/22/2018,68176,0,United States,Nashville,,Privileged
E02769,Riley Marquez,Riley ,Marquez,RMarquez@scorpius.com,Sr. Manger,Finance,Research & Development,Female,Latino,39,10/18/2019,122829,0.11,United States,Nashville,,Standard
E01807,Matthew Lim,Matthew ,Lim,MLim@scorpius.com,Sr. Analyst,Sales,Research & Development,Male,Asian,52,2/18/1994,99624,0,United States,Nashville,,Standard
E01762,Maya Ngo,Maya ,Ngo,MNgo@scorpius.com,Manager,Sales,Speciality Products,Female,Asian,55,10/20/2012,108686,0.06,United States,Nashville,,Privileged
E04226,Andrew Moore,Andrew ,Moore,AMoore@scorpius.com,Operations Engineer,Engineering,Manufacturing,Male,Caucasian,47,1/2/2001,120628,0,United States,Nashville,,Standard
E04101,Olivia Harris,Olivia ,Harris,OHarris@scorpius.com,Director,Sales,Speciality Products,Female,Caucasian,63,6/14/2020,181216,0.27,United States,Nashville,,Privileged
E01981,Genesis Banks,Genesis ,Banks,GBanks@scorpius.com,Analyst,Finance,Corporate,Female,Caucasian,63,3/16/2012,46081,0,United States,Nashville,,Standard
E02534,Victoria Johnson,Victoria ,Johnson,VJohnson@scorpius.com,Sr. Manger,Accounting,Corporate,Female,Caucasian,55,5/28/2004,159885,0.12,United States,Nashville,,Standard
E01238,Eloise Griffin,Eloise ,Griffin,EGriffin@scorpius.com,Director,Sales,Manufacturing,Female,Caucasian,55,10/29/1995,153271,0.15,United States,Nashville,,Privileged
E01118,Roman Yang,Roman ,Yang,RYang@scorpius.com,Manager,Human Resources,Manufacturing,Male,Asian,42,12/12/2009,114242,0.08,United States,Nashville,,Privileged
E04308,Kai Flores,Kai ,Flores,KFlores@scorpius.com,Development Engineer,Engineering,Manufacturing,Male,Latino,35,5/23/2017,65566,0,United States,Nashville,,Standard
E02295,Axel Jordan,Axel ,Jordan,AJordan@scorpius.com,Analyst,Sales,Corporate,Male,Caucasian,47,2/28/2013,54635,0,United States,Nashville,,Standard
E04546,Jade Hunter,Jade ,Hunter,JHunter@scorpius.com,Cloud Infrastructure Architect,IT,Corporate,Female,Caucasian,42,2/5/2020,96636,0,United States,Nashville,,Privileged
E04217,Lydia Williams,Lydia ,Williams,LWilliams@scorpius.com,System Administrator ,IT,Manufacturing,Female,Black,35,10/29/2014,91592,0,United States,Nashville,,Privileged
E04645,Elias Ahmed,Elias ,Ahmed,EAhmed@scorpius.com,Vice President,Marketing,Corporate,Male,Asian,57,8/4/2017,183190,0.36,United States,Nashville,,Privileged
E03880,Samantha Woods,Samantha ,Woods,SWoods@scorpius.com,Analyst,Accounting,Speciality Products,Female,Caucasian,56,12/25/2019,54829,0,United States,Nashville,,Standard
E04517,Amelia Choi,Amelia ,Choi,AChoi@scorpius.com,Manager,Marketing,Speciality Products,Female,Asian,43,6/11/2006,117278,0.09,United States,Nashville,,Privileged
E04639,Luna Taylor,Luna ,Taylor,LTaylor@scorpius.com,Network Administrator,IT,Manufacturing,Female,Caucasian,47,7/28/2018,87806,0,United States,Nashville,,Privileged
E00465,Dominic Parker,Dominic ,Parker,DParker@scorpius.com,Test Engineer,Engineering,Research & Development,Male,Caucasian,62,10/4/2011,63959,0,United States,Nashville,,Standard
E04927,Ezekiel Bryant,Ezekiel ,Bryant,EBryant@scorpius.com,Sr. Analyst,Finance,Manufacturing,Male,Caucasian,55,7/19/2002,77396,0,United States,Nashville,,Standard
E03799,Natalie Hwang,Natalie ,Hwang,NHwang@scorpius.com,Sr. Analyst,Finance,Speciality Products,Female,Asian,63,12/31/1999,89523,0,United States,Nashville,,Standard
E02633,Allison Roberts,Allison ,Roberts,ARoberts@scorpius.com,Vice President,Sales,Manufacturing,Female,Black,54,8/19/2000,222224,0.38,United States,Nashville,,Privileged
E02965,Andrew Do,Andrew ,Do,ADo@scorpius.com,Sr. Manger,Finance,Research & Development,Male,Asian,43,4/17/2021,146140,0.15,United States,Nashville,,Standard
E04345,Eliana Grant,Eliana ,Grant,EGrant@scorpius.com,Engineering Manager,Engineering,Speciality Products,Female,Caucasian,64,6/20/1994,109456,0.1,United States,Nashville,,Standard
E01132,Gabriella Johnson,Gabriella ,Johnson,GJohnson@scorpius.com,Computer Systems Manager,IT,Research & Development,Female,Caucasian,42,3/1/2006,97433,0.05,United States,Nashville,8/8/2015,Privileged
E02943,Bella Lopez,Bella ,Lopez,BLopez@scorpius.com,Sr. Analyst,Marketing,Corporate,Female,Latino,32,11/12/2013,88895,0,United States,Nashville,,Standard
E03461,Nathan Lau,Nathan ,Lau,NLau@scorpius.com,Business Partner,Human Resources,Research & Development,Male,Asian,35,2/22/2011,43336,0,United States,Nashville,7/12/2020,Standard
E03490,Henry Campos,Henry ,Campos,HCampos@scorpius.com,Sr. Manger,Human Resources,Corporate,Male,Latino,38,9/27/2009,127801,0.15,United States,Nashville,,Standard
E04466,Connor Bell,Connor ,Bell,CBell@scorpius.com,Network Administrator,IT,Corporate,Male,Black,54,4/1/2000,76352,0,United States,Nashville,,Privileged
E03226,Angel Stewart,Angel ,Stewart,AStewart@scorpius.com,Vice President,Finance,Corporate,Male,Caucasian,28,6/22/2019,250767,0.38,United States,Nashville,,Privileged
E04607,Landon Brown,Landon ,Brown,LBrown@scorpius.com,Vice President,Marketing,Corporate,Male,Caucasian,26,9/27/2020,223055,0.3,United States,Nashville,,Privileged
E02190,Gabriel Carter,Gabriel ,Carter,GCarter@scorpius.com,Test Engineer,Engineering,Manufacturing,Male,Caucasian,57,7/18/2018,71167,0,United States,Nashville,,Standard
E00747,Leilani Baker,Leilani ,Baker,LBaker@scorpius.com,Technical Architect,IT,Speciality Products,Female,Caucasian,59,4/4/2010,76027,0,United States,Nashville,,Privileged
E01416,Hudson Thompson,Hudson ,Thompson,HThompson@scorpius.com,Analyst II,Accounting,Manufacturing,Male,Black,30,10/20/2020,67753,0,United States,Nashville,,Standard
E01524,Ian Miller,Ian ,Miller,IMiller@scorpius.com,Computer Systems Manager,IT,Corporate,Male,Black,31,10/13/2016,63744,0.08,United States,Nashville,,Privileged
E02801,Santiago f Brooks,Santiago ,f Brooks,Sf Brooks@scorpius.com,Sr. Manger,Sales,Corporate,Male,Black,51,9/1/2000,157487,0.12,United States,Nashville,,Standard
E01952,Everett Lee,Everett ,Lee,ELee@scorpius.com,Network Administrator,IT,Research & Development,Male,Asian,45,2/26/2010,90770,0,United States,Nashville,,Privileged
E00116,Madelyn Mehta,Madelyn ,Mehta,MMehta@scorpius.com,Analyst,Sales,Speciality Products,Female,Asian,64,1/28/2005,55369,0,United States,Nashville,,Standard
E00624,William Watson,William ,Watson,WWatson@scorpius.com,Director,Accounting,Speciality Products,Male,Caucasian,41,6/4/2013,167526,0.26,United States,Nashville,,Privileged
E00218,David Desai,David ,Desai,DDesai@scorpius.com,Vice President,Sales,Speciality Products,Male,Asian,47,11/22/2016,253249,0.31,United States,Nashville,,Privileged
E01070,Grayson Brown,Grayson ,Brown,GBrown@scorpius.com,Vice President,IT,Corporate,Male,Caucasian,38,6/22/2016,249870,0.34,United States,Nashville,,Privileged
E04925,Athena Jordan,Athena ,Jordan,AJordan@scorpius.com,System Administrator ,IT,Manufacturing,Female,Black,42,2/19/2011,72486,0,United States,Nashville,,Privileged
E00403,Liliana Soto,Liliana ,Soto,LSoto@scorpius.com,Business Partner,Human Resources,Manufacturing,Female,Latino,58,10/12/2010,43001,0,United States,Nashville,,Standard
E00436,Lincoln Reyes,Lincoln ,Reyes,LReyes@scorpius.com,Computer Systems Manager,IT,Manufacturing,Male,Latino,60,8/3/1998,85120,0.09,United States,Nashville,,Privileged
E04358,Grayson Soto,Grayson ,Soto,GSoto@scorpius.com,Business Partner,Human Resources,Manufacturing,Male,Latino,34,8/3/2015,52200,0,United States,Nashville,,Standard
E04662,Julia Morris,Julia ,Morris,JMorris@scorpius.com,Sr. Manger,Human Resources,Corporate,Female,Caucasian,60,10/18/2008,150855,0.11,United States,Nashville,,Standard
E01496,Ava Ortiz,Ava ,Ortiz,AOrtiz@scorpius.com,Enterprise Architect,IT,Manufacturing,Female,Latino,53,7/20/2004,65702,0,United States,Nashville,,Privileged
E03971,Lillian Chen,Lillian ,Chen,LChen@scorpius.com,Sr. Manger,Marketing,Research & Development,Female,Asian,25,4/9/2020,157057,0.1,United States,Nashville,,Standard
E03616,Josiah Lewis,Josiah ,Lewis,JLewis@scorpius.com,Manager,IT,Research & Development,Male,Caucasian,46,8/11/2021,127559,0.1,United States,Nashville,,Privileged
E00153,Claire Jones,Claire ,Jones,CJones@scorpius.com,Field Engineer,Engineering,Corporate,Female,Caucasian,39,3/12/2019,62644,0,United States,Nashville,,Standard
E02960,Nova Hill,Nova ,Hill,NHill@scorpius.com,Sr. Analyst,Accounting,Manufacturing,Female,Caucasian,56,3/10/2018,90040,0,United States,Nashville,,Standard
E02140,Naomi Zhao,Naomi ,Zhao,NZhao@scorpius.com,Vice President,Human Resources,Speciality Products,Female,Asian,45,9/22/2021,201396,0.32,United States,Nashville,,Privileged
E03881,Andrew Reed,Andrew ,Reed,AReed@scorpius.com,System Administrator ,IT,Corporate,Male,Black,28,6/17/2019,65341,0,United States,Nashville,4/11/2022,Privileged
